Portugal, Life tables (period 1x1), Females	Last modified: 11 Aug 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1940           0      0.13727  0.12546  0.31  100000   12546   91395  5358997  53.59
  1940           1      0.04790  0.04678  0.50   87454    4091   85408  5267602  60.23
  1940           2      0.01976  0.01956  0.50   83363    1631   82547  5182194  62.16
  1940           3      0.01018  0.01013  0.50   81732     828   81318  5099646  62.39
  1940           4      0.00630  0.00628  0.50   80904     508   80650  5018328  62.03
  1940           5      0.00401  0.00400  0.50   80396     322   80235  4937678  61.42
  1940           6      0.00339  0.00338  0.50   80074     271   79939  4857443  60.66
  1940           7      0.00259  0.00259  0.50   79803     206   79700  4777505  59.87
  1940           8      0.00236  0.00236  0.50   79597     188   79503  4697804  59.02
  1940           9      0.00223  0.00223  0.50   79409     177   79321  4618301  58.16
  1940          10      0.00204  0.00204  0.50   79232     162   79151  4538980  57.29
  1940          11      0.00198  0.00198  0.50   79071     156   78993  4459829  56.40
  1940          12      0.00191  0.00191  0.50   78914     151   78839  4380836  55.51
  1940          13      0.00216  0.00216  0.50   78764     170   78679  4301997  54.62
  1940          14      0.00223  0.00223  0.50   78594     175   78506  4223319  53.74
  1940          15      0.00259  0.00258  0.50   78419     203   78317  4144813  52.86
  1940          16      0.00308  0.00307  0.50   78216     240   78096  4066496  51.99
  1940          17      0.00311  0.00311  0.50   77976     242   77854  3988400  51.15
  1940          18      0.00376  0.00375  0.50   77733     292   77587  3910546  50.31
  1940          19      0.00389  0.00388  0.50   77441     301   77291  3832958  49.50
  1940          20      0.00420  0.00420  0.50   77141     324   76979  3755667  48.69
  1940          21      0.00439  0.00438  0.50   76817     337   76649  3678688  47.89
  1940          22      0.00399  0.00398  0.50   76480     305   76328  3602040  47.10
  1940          23      0.00421  0.00420  0.50   76176     320   76016  3525712  46.28
  1940          24      0.00421  0.00420  0.50   75856     319   75697  3449696  45.48
  1940          25      0.00443  0.00442  0.50   75537     334   75370  3373999  44.67
  1940          26      0.00474  0.00473  0.50   75204     355   75026  3298629  43.86
  1940          27      0.00461  0.00460  0.50   74848     345   74676  3223603  43.07
  1940          28      0.00525  0.00523  0.50   74504     390   74309  3148927  42.27
  1940          29      0.00435  0.00434  0.50   74114     322   73953  3074619  41.49
  1940          30      0.00488  0.00487  0.50   73792     359   73612  3000666  40.66
  1940          31      0.00425  0.00424  0.50   73433     311   73277  2927054  39.86
  1940          32      0.00459  0.00458  0.50   73121     335   72954  2853777  39.03
  1940          33      0.00558  0.00557  0.50   72786     405   72584  2780823  38.21
  1940          34      0.00485  0.00484  0.50   72381     350   72206  2708239  37.42
  1940          35      0.00492  0.00490  0.50   72031     353   71855  2636033  36.60
  1940          36      0.00496  0.00494  0.50   71678     354   71501  2564178  35.77
  1940          37      0.00461  0.00460  0.50   71323     328   71159  2492678  34.95
  1940          38      0.00540  0.00539  0.50   70995     382   70804  2421518  34.11
  1940          39      0.00503  0.00502  0.50   70613     354   70436  2350714  33.29
  1940          40      0.00648  0.00646  0.50   70258     454   70031  2280279  32.46
  1940          41      0.00550  0.00549  0.50   69804     383   69613  2210247  31.66
  1940          42      0.00612  0.00610  0.50   69421     424   69210  2140635  30.84
  1940          43      0.00632  0.00630  0.50   68998     434   68781  2071425  30.02
  1940          44      0.00533  0.00531  0.50   68563     364   68381  2002645  29.21
  1940          45      0.00686  0.00683  0.50   68199     466   67966  1934263  28.36
  1940          46      0.00744  0.00741  0.50   67733     502   67482  1866297  27.55
  1940          47      0.00539  0.00537  0.50   67231     361   67050  1798815  26.76
  1940          48      0.00745  0.00743  0.50   66870     497   66621  1731765  25.90
  1940          49      0.00637  0.00635  0.50   66373     421   66162  1665143  25.09
  1940          50      0.00880  0.00876  0.50   65952     578   65663  1598981  24.24
  1940          51      0.00817  0.00814  0.50   65374     532   65108  1533318  23.45
  1940          52      0.00940  0.00935  0.50   64842     606   64539  1468210  22.64
  1940          53      0.00947  0.00943  0.50   64235     606   63933  1403671  21.85
  1940          54      0.00916  0.00912  0.50   63630     580   63340  1339739  21.06
  1940          55      0.01131  0.01125  0.50   63050     709   62695  1276399  20.24
  1940          56      0.01225  0.01218  0.50   62341     759   61961  1213704  19.47
  1940          57      0.01271  0.01263  0.50   61581     777   61193  1151743  18.70
  1940          58      0.01559  0.01547  0.50   60804     941   60334  1090551  17.94
  1940          59      0.01105  0.01099  0.50   59863     658   59534  1030217  17.21
  1940          60      0.02221  0.02196  0.50   59205    1300   58555   970683  16.40
  1940          61      0.01787  0.01771  0.50   57905    1026   57392   912128  15.75
  1940          62      0.02058  0.02037  0.50   56879    1158   56300   854736  15.03
  1940          63      0.02401  0.02373  0.50   55721    1322   55060   798437  14.33
  1940          64      0.02263  0.02238  0.50   54398    1217   53790   743377  13.67
  1940          65      0.02909  0.02867  0.50   53181    1525   52419   689587  12.97
  1940          66      0.03123  0.03075  0.50   51656    1589   50862   637168  12.33
  1940          67      0.02995  0.02951  0.50   50068    1478   49329   586306  11.71
  1940          68      0.04264  0.04175  0.50   48590    2029   47576   536977  11.05
  1940          69      0.02663  0.02628  0.50   46561    1223   45950   489401  10.51
  1940          70      0.06177  0.05992  0.50   45338    2717   43980   443452   9.78
  1940          71      0.04671  0.04565  0.50   42621    1945   41648   399472   9.37
  1940          72      0.06786  0.06563  0.50   40676    2670   39341   357824   8.80
  1940          73      0.07057  0.06816  0.50   38006    2591   36711   318483   8.38
  1940          74      0.06356  0.06160  0.50   35415    2182   34325   281772   7.96
  1940          75      0.08540  0.08190  0.50   33234    2722   31873   247447   7.45
  1940          76      0.09450  0.09024  0.50   30512    2753   29135   215574   7.07
  1940          77      0.09040  0.08649  0.50   27759    2401   26558   186439   6.72
  1940          78      0.13381  0.12542  0.50   25358    3180   23768   159881   6.30
  1940          79      0.10032  0.09553  0.50   22178    2119   21118   136113   6.14
  1940          80      0.17958  0.16478  0.50   20059    3305   18406   114995   5.73
  1940          81      0.09209  0.08803  0.50   16754    1475   16016    96589   5.77
  1940          82      0.14269  0.13319  0.50   15279    2035   14261    80572   5.27
  1940          83      0.13983  0.13069  0.50   13244    1731   12378    66311   5.01
  1940          84      0.15857  0.14692  0.50   11513    1692   10667    53933   4.68
  1940          85      0.21137  0.19117  0.50    9821    1878    8883    43266   4.41
  1940          86      0.20036  0.18212  0.50    7944    1447    7220    34383   4.33
  1940          87      0.19329  0.17626  0.50    6497    1145    5925    27163   4.18
  1940          88      0.21518  0.19428  0.50    5352    1040    4832    21238   3.97
  1940          89      0.16658  0.15377  0.50    4312     663    3981    16406   3.80
  1940          90      0.33783  0.28901  0.50    3649    1055    3122    12425   3.41
  1940          91      0.24327  0.21689  0.50    2594     563    2313     9304   3.59
  1940          92      0.25565  0.22668  0.50    2032     461    1801     6991   3.44
  1940          93      0.26844  0.23667  0.50    1571     372    1385     5189   3.30
  1940          94      0.28162  0.24686  0.50    1199     296    1051     3804   3.17
  1940          95      0.29519  0.25722  0.50     903     232     787     2753   3.05
  1940          96      0.30913  0.26775  0.50     671     180     581     1966   2.93
  1940          97      0.32343  0.27841  0.50     491     137     423     1384   2.82
  1940          98      0.33806  0.28918  0.50     355     103     303      962   2.71
  1940          99      0.35302  0.30005  0.50     252      76     214      658   2.61
  1940         100      0.36826  0.31100  0.50     176      55     149      444   2.52
  1940         101      0.38378  0.32199  0.50     122      39     102      295   2.43
  1940         102      0.39953  0.33301  0.50      82      27      69      193   2.34
  1940         103      0.41549  0.34402  0.50      55      19      46      124   2.27
  1940         104      0.43164  0.35502  0.50      36      13      30       79   2.19
  1940         105      0.44793  0.36597  0.50      23       9      19       49   2.12
  1940         106      0.46433  0.37684  0.50      15       6      12       30   2.06
  1940         107      0.48081  0.38762  0.50       9       4       7       18   2.00
  1940         108      0.49733  0.39829  0.50       6       2       5       11   1.95
  1940         109      0.51386  0.40882  0.50       3       1       3        6   1.91
  1940         110+     0.53036  1.00000  1.89       2       2       4        4   1.89
  1941           0      0.16191  0.14572  0.31  100000   14572   90005  4996093  49.96
  1941           1      0.07014  0.06776  0.50   85428    5789   82533  4906088  57.43
  1941           2      0.02629  0.02595  0.50   79639    2066   78606  4823555  60.57
  1941           3      0.01196  0.01189  0.50   77572     923   77111  4744949  61.17
  1941           4      0.00701  0.00699  0.50   76650     536   76382  4667838  60.90
  1941           5      0.00475  0.00474  0.50   76114     361   75934  4591456  60.32
  1941           6      0.00375  0.00375  0.50   75754     284   75612  4515522  59.61
  1941           7      0.00353  0.00352  0.50   75470     266   75337  4439910  58.83
  1941           8      0.00268  0.00268  0.50   75204     201   75103  4364573  58.04
  1941           9      0.00275  0.00274  0.50   75002     206   74899  4289470  57.19
  1941          10      0.00213  0.00213  0.50   74797     159   74717  4214571  56.35
  1941          11      0.00233  0.00232  0.50   74637     173   74550  4139854  55.47
  1941          12      0.00224  0.00223  0.50   74464     166   74380  4065303  54.59
  1941          13      0.00232  0.00232  0.50   74297     172   74211  3990923  53.72
  1941          14      0.00287  0.00287  0.50   74125     212   74019  3916712  52.84
  1941          15      0.00285  0.00285  0.50   73913     211   73807  3842693  51.99
  1941          16      0.00298  0.00298  0.50   73702     219   73592  3768886  51.14
  1941          17      0.00351  0.00350  0.50   73483     258   73354  3695293  50.29
  1941          18      0.00374  0.00374  0.50   73225     274   73088  3621939  49.46
  1941          19      0.00395  0.00394  0.50   72952     287   72808  3548851  48.65
  1941          20      0.00471  0.00470  0.50   72664     341   72494  3476043  47.84
  1941          21      0.00422  0.00421  0.50   72323     304   72171  3403549  47.06
  1941          22      0.00498  0.00497  0.50   72019     358   71840  3331378  46.26
  1941          23      0.00466  0.00465  0.50   71661     333   71494  3259539  45.49
  1941          24      0.00423  0.00422  0.50   71328     301   71177  3188044  44.70
  1941          25      0.00417  0.00416  0.50   71026     296   70879  3116867  43.88
  1941          26      0.00497  0.00496  0.50   70731     351   70556  3045989  43.06
  1941          27      0.00448  0.00447  0.50   70380     315   70223  2975433  42.28
  1941          28      0.00460  0.00459  0.50   70066     321   69905  2905210  41.46
  1941          29      0.00446  0.00445  0.50   69744     310   69589  2835305  40.65
  1941          30      0.00473  0.00472  0.50   69434     328   69270  2765716  39.83
  1941          31      0.00471  0.00470  0.50   69106     325   68944  2696445  39.02
  1941          32      0.00511  0.00510  0.50   68782     351   68606  2627501  38.20
  1941          33      0.00502  0.00501  0.50   68431     343   68260  2558895  37.39
  1941          34      0.00522  0.00521  0.50   68088     354   67911  2490635  36.58
  1941          35      0.00565  0.00563  0.50   67734     381   67543  2422725  35.77
  1941          36      0.00499  0.00498  0.50   67352     335   67184  2355182  34.97
  1941          37      0.00524  0.00523  0.50   67017     350   66842  2287997  34.14
  1941          38      0.00622  0.00620  0.50   66666     413   66460  2221156  33.32
  1941          39      0.00577  0.00575  0.50   66253     381   66062  2154696  32.52
  1941          40      0.00619  0.00617  0.50   65872     406   65669  2088634  31.71
  1941          41      0.00517  0.00515  0.50   65466     337   65297  2022965  30.90
  1941          42      0.00767  0.00764  0.50   65128     498   64879  1957668  30.06
  1941          43      0.00566  0.00565  0.50   64630     365   64448  1892789  29.29
  1941          44      0.00691  0.00688  0.50   64265     442   64044  1828341  28.45
  1941          45      0.00701  0.00699  0.50   63823     446   63600  1764297  27.64
  1941          46      0.00707  0.00704  0.50   63377     446   63154  1700697  26.83
  1941          47      0.00603  0.00601  0.50   62931     378   62741  1637543  26.02
  1941          48      0.00908  0.00904  0.50   62552     565   62270  1574802  25.18
  1941          49      0.00679  0.00676  0.50   61987     419   61777  1512532  24.40
  1941          50      0.00825  0.00822  0.50   61568     506   61315  1450755  23.56
  1941          51      0.00711  0.00708  0.50   61062     433   60845  1389441  22.75
  1941          52      0.01227  0.01219  0.50   60629     739   60259  1328595  21.91
  1941          53      0.01027  0.01021  0.50   59890     612   59584  1268336  21.18
  1941          54      0.01148  0.01142  0.50   59278     677   58940  1208752  20.39
  1941          55      0.01262  0.01254  0.50   58601     735   58234  1149812  19.62
  1941          56      0.01250  0.01242  0.50   57866     719   57507  1091579  18.86
  1941          57      0.01297  0.01289  0.50   57147     736   56779  1034072  18.09
  1941          58      0.01550  0.01538  0.50   56411     868   55977   977293  17.32
  1941          59      0.01520  0.01509  0.50   55543     838   55125   921315  16.59
  1941          60      0.02146  0.02123  0.50   54706    1161   54125   866191  15.83
  1941          61      0.01242  0.01234  0.50   53544     661   53214   812066  15.17
  1941          62      0.02898  0.02857  0.50   52883    1511   52128   758852  14.35
  1941          63      0.02425  0.02396  0.50   51372    1231   50757   706725  13.76
  1941          64      0.02625  0.02591  0.50   50142    1299   49492   655968  13.08
  1941          65      0.03245  0.03193  0.50   48842    1559   48063   606476  12.42
  1941          66      0.02994  0.02949  0.50   47283    1395   46586   558413  11.81
  1941          67      0.03690  0.03623  0.50   45888    1663   45057   511827  11.15
  1941          68      0.04258  0.04169  0.50   44226    1844   43304   466770  10.55
  1941          69      0.03414  0.03357  0.50   42382    1423   41671   423467   9.99
  1941          70      0.06492  0.06288  0.50   40959    2575   39672   381796   9.32
  1941          71      0.03758  0.03689  0.50   38384    1416   37676   342124   8.91
  1941          72      0.07696  0.07411  0.50   36968    2740   35598   304448   8.24
  1941          73      0.07389  0.07126  0.50   34228    2439   33009   268850   7.85
  1941          74      0.08148  0.07829  0.50   31789    2489   30545   235842   7.42
  1941          75      0.10105  0.09619  0.50   29300    2819   27891   205297   7.01
  1941          76      0.08822  0.08449  0.50   26482    2238   25363   177406   6.70
  1941          77      0.11357  0.10747  0.50   24244    2605   22942   152043   6.27
  1941          78      0.13702  0.12823  0.50   21639    2775   20251   129101   5.97
  1941          79      0.11683  0.11038  0.50   18864    2082   17823   108850   5.77
  1941          80      0.18466  0.16906  0.50   16782    2837   15363    91027   5.42
  1941          81      0.11172  0.10581  0.50   13945    1475   13207    75664   5.43
  1941          82      0.15382  0.14283  0.50   12469    1781   11579    62457   5.01
  1941          83      0.14552  0.13565  0.50   10688    1450    9963    50878   4.76
  1941          84      0.15977  0.14795  0.50    9238    1367    8555    40915   4.43
  1941          85      0.23900  0.21349  0.50    7872    1681    7031    32360   4.11
  1941          86      0.20132  0.18291  0.50    6191    1132    5625    25328   4.09
  1941          87      0.20744  0.18795  0.50    5059     951    4583    19703   3.90
  1941          88      0.25094  0.22296  0.50    4108     916    3650    15120   3.68
  1941          89      0.18842  0.17220  0.50    3192     550    2917    11470   3.59
  1941          90      0.36783  0.31069  0.50    2642     821    2232     8553   3.24
  1941          91      0.25426  0.22558  0.50    1821     411    1616     6321   3.47
  1941          92      0.26649  0.23515  0.50    1411     332    1245     4705   3.34
  1941          93      0.27908  0.24491  0.50    1079     264     947     3461   3.21
  1941          94      0.29204  0.25483  0.50     815     208     711     2514   3.09
  1941          95      0.30534  0.26490  0.50     607     161     527     1803   2.97
  1941          96      0.31898  0.27510  0.50     446     123     385     1276   2.86
  1941          97      0.33293  0.28542  0.50     323      92     277      892   2.76
  1941          98      0.34718  0.29583  0.50     231      68     197      614   2.66
  1941          99      0.36172  0.30632  0.50     163      50     138      417   2.56
  1941         100      0.37651  0.31686  0.50     113      36      95      279   2.48
  1941         101      0.39153  0.32743  0.50      77      25      65      184   2.39
  1941         102      0.40676  0.33801  0.50      52      18      43      120   2.31
  1941         103      0.42217  0.34859  0.50      34      12      28       77   2.24
  1941         104      0.43774  0.35913  0.50      22       8      18       48   2.17
  1941         105      0.45343  0.36963  0.50      14       5      12       30   2.10
  1941         106      0.46921  0.38005  0.50       9       3       7       18   2.04
  1941         107      0.48505  0.39038  0.50       6       2       5       11   1.99
  1941         108      0.50093  0.40059  0.50       3       1       3        7   1.94
  1941         109      0.51680  0.41068  0.50       2       1       2        4   1.90
  1941         110+     0.53264  1.00000  1.88       1       1       2        2   1.88
  1942           0      0.13642  0.12475  0.31  100000   12475   91443  5182101  51.82
  1942           1      0.05753  0.05592  0.50   87525    4895   85078  5090658  58.16
  1942           2      0.02568  0.02536  0.50   82630    2095   81583  5005580  60.58
  1942           3      0.01334  0.01325  0.50   80535    1067   80001  4923997  61.14
  1942           4      0.00801  0.00798  0.50   79468     634   79151  4843996  60.96
  1942           5      0.00559  0.00558  0.50   78834     440   78614  4764845  60.44
  1942           6      0.00459  0.00458  0.50   78394     359   78215  4686232  59.78
  1942           7      0.00341  0.00340  0.50   78035     266   77902  4608017  59.05
  1942           8      0.00286  0.00286  0.50   77769     222   77658  4530115  58.25
  1942           9      0.00276  0.00276  0.50   77547     214   77440  4452456  57.42
  1942          10      0.00294  0.00294  0.50   77333     227   77220  4375016  56.57
  1942          11      0.00222  0.00222  0.50   77106     171   77020  4297796  55.74
  1942          12      0.00282  0.00282  0.50   76935     217   76826  4220776  54.86
  1942          13      0.00235  0.00234  0.50   76718     180   76628  4143950  54.02
  1942          14      0.00278  0.00278  0.50   76538     213   76432  4067321  53.14
  1942          15      0.00343  0.00342  0.50   76326     261   76195  3990889  52.29
  1942          16      0.00381  0.00380  0.50   76064     289   75920  3914694  51.47
  1942          17      0.00376  0.00375  0.50   75775     284   75633  3838774  50.66
  1942          18      0.00413  0.00412  0.50   75491     311   75336  3763141  49.85
  1942          19      0.00409  0.00409  0.50   75181     307   75027  3687805  49.05
  1942          20      0.00458  0.00457  0.50   74873     342   74702  3612778  48.25
  1942          21      0.00433  0.00432  0.50   74531     322   74370  3538075  47.47
  1942          22      0.00482  0.00481  0.50   74210     357   74031  3463705  46.67
  1942          23      0.00430  0.00429  0.50   73853     317   73694  3389674  45.90
  1942          24      0.00495  0.00494  0.50   73536     363   73354  3315979  45.09
  1942          25      0.00481  0.00480  0.50   73173     351   72997  3242625  44.31
  1942          26      0.00423  0.00422  0.50   72822     307   72668  3169628  43.53
  1942          27      0.00476  0.00475  0.50   72514     344   72342  3096960  42.71
  1942          28      0.00506  0.00505  0.50   72170     364   71988  3024618  41.91
